title,genres,director,cast,overview,keywords,rating,year
Operation legend,"Comedy, Animation",Paul Thomas Anderson,"Daisy Ridley, Cate Blanchett, Dev Patel, Jenna Ortega","When an ambitious lawyer accidentally disappearance, chaos and hilarity ensue in this laugh-out-loud comedy. Nothing goes according to plan, and every attempt to fix things only makes it worse. A feel-good film that will leave you smiling.","absurd, enchanted, wedding, hero, colorful, friendship",6.5,2017
Little raven,Animation,Steven Spielberg,"Gal Gadot, Jenna Ortega, Zendaya, Tom Hardy","In a magical world where gravity can be controlled, a young a retired professor embarks on an extraordinary adventure. Along the way, they discover the true meaning of courage and friendship. A visually breathtaking animated masterpiece for all ages.","friendship, fairy-tale, musical, talking-animals, quest, enchanted, magic",4.2,1994
Two beacon,Romance,Wong Kar-wai,"Chris Evans, Natalie Portman, Awkwafina","When a war veteran returns to their hometown, old feelings resurface and new possibilities emerge. Against the odds and despite past wounds, love finds a way. A tender, emotionally rich love story.","forbidden-love, soulmate, passion, love, heartbreak, devotion",5.7,2007
The cipher of Kyoto,Drama,Emerald Fennell,"Al Pacino, Jennifer Lawrence, Viola Davis, Timothee Chalamet","Spanning three decades, this intimate drama follows a brilliant surgeon through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","secrets, grief, sacrifice, ambition, loss",4.7,1994
Whispering oracle,"Animation, Drama",Alejandro Inarritu,"Jennifer Lawrence, Keanu Reeves, Oscar Isaac","When their homeland is threatened by a dark force, an unlikely hero must journey across fantastical lands. With colorful companions and songs in their heart, nothing is impossible. A joyful, dazzling animated adventure.","fairy-tale, sacrifice, magic, loss, friendship",9.4,1998
The reckless Kingdom,Animation,Park Chan-wook,"Rachel McAdams, Daisy Ridley, Jennifer Lawrence, Brad Pitt","A curious a retired professor stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","enchanted, hero, colorful, fantasy",6.3,2016
Still blade,"Drama, Comedy, Romance",George Miller,"Awkwafina, Charlize Theron, Michael B. Jordan, Brad Pitt","In the quiet corners of modern-day Berlin, an ambitious lawyer confronts a past that refuses to stay buried. Through unexpected friendships and hard-won wisdom, a new path forward emerges.","prank, identity, awkward, wedding, relationships, forbidden-love, redemption",4.9,2010
No valley,"Thriller, Romance, Sci-Fi",Chloe Zhao,"Brad Pitt, Tom Hardy, Lupita Nyong'o, Gal Gadot","After receiving a cryptic message from a dead colleague, a retired professor is drawn into a web of deception. Every clue leads to more questions, and the clock is ticking. An edge-of-your-seat thriller with a devastating finale.","reunion, wedding, paranoia, heartbreak, suspense",8.0,2011
City of shadow,"Crime, Action, Adventure",Wong Kar-wai,"Emily Blunt, Florence Pugh, Chadwick Boseman, Will Smith","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","underworld, corruption, jungle, quest",5.6,2009
Beneath the blade,"Horror, Sci-Fi",Martin Scorsese,"Austin Butler, Pedro Pascal, Jake Gyllenhaal","After moving into a seemingly perfect abandoned hospital, a struggling artist begins experiencing disturbing phenomena. The house has a history, and it is not done claiming victims. A slow-burn horror masterpiece dripping with dread.","occult, cyberpunk, alien, slasher, isolation",8.2,2022
Moonlit flame,"Romance, Thriller",Guillermo del Toro,"Saoirse Ronan, Natalie Portman, Denzel Washington, Scarlett Johansson","When a small-town teacher returns to their hometown, old feelings resurface and new possibilities emerge. Against the odds and despite past wounds, love finds a way. A tender, emotionally rich love story.","soulmate, forbidden-love, espionage, passion, investigation, stalker, chemistry",6.7,2022
crown Horizon,"Sci-Fi, Animation",Edgar Wright,"Saoirse Ronan, Florence Pugh, Salma Hayek, Michael B. Jordan","In a future where time flows backward, humanity faces its greatest challenge yet. A brilliant soldier discovers a truth that could change everything, but powerful forces want it buried. A thought-provoking sci-fi epic about the cost of progress.","cyberpunk, magic, colorful, genetic-engineering, virtual-reality, friendship, AI",8.9,2013
The Last dawn,"Romance, Action",Wong Kar-wai,"Anya Taylor-Joy, Jennifer Lawrence, Oscar Isaac","Two strangers from different worlds find an unexpected connection in a Mediterranean island. As they navigate the complexities of love and life, they must decide what matters most. A beautiful, heartfelt romance that celebrates the power of vulnerability.","rescue, survival, wedding, forbidden-love, mission, long-distance, soulmate",8.4,2011
Forever mysterious,"Romance, Comedy",Lulu Wang,"Idris Elba, Robert Downey Jr., Brad Pitt, Hailee Steinfeld","When a brilliant surgeon returns to their hometown, old feelings resurface and new possibilities emerge. Against the odds and despite past wounds, love finds a way. A tender, emotionally rich love story.","forbidden-love, passion, wit, prank, heartbreak, funny, soulmate",4.9,2009
legend of the Deep,"Adventure, Crime",Wong Kar-wai,"Jake Gyllenhaal, Benedict Cumberbatch, Meryl Streep, Anya Taylor-Joy","When a map to an uncharted Victorian mansion surfaces, a ragtag crew of explorers assembles for the journey. But they are not the only ones seeking what lies at the end. An epic adventure filled with wonder and peril.","corruption, underworld, investigation, expedition, ancient-ruins, noir, wilderness",9.3,2004
The weary Heist,"Crime, Animation",Hayao Miyazaki,"Natalie Portman, Benedict Cumberbatch, Awkwafina, Saoirse Ronan","In the gritty underbelly of 1960s New York, a detective pursues a mastermind who is always one step ahead. Loyalties are tested and the price of justice is high. A gripping crime saga with unforgettable characters.","musical, quest, colorful, talking-animals, enchanted",6.3,2003
Vice dawn,"Crime, Animation",Greta Gerwig,"Jennifer Lawrence, Adam Driver, Rami Malek","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","colorful, friendship, quest, informant, fantasy, hero, noir",8.8,2006
bright Waters,"Thriller, Crime",Barry Jenkins,"Lupita Nyong'o, Chadwick Boseman, Oscar Isaac","After receiving a cryptic message from a dead colleague, a struggling artist is drawn into a web of deception. Every clue leads to more questions, and the clock is ticking. An edge-of-your-seat thriller with a devastating finale.","suspense, conspiracy, heist, stalker, espionage, paranoia, gang",7.7,2014
Night of the shadow,"Horror, Romance, Comedy",Damien Chazelle,"Michael B. Jordan, Morgan Freeman, Austin Butler","Something is watching from the darkness in downtown Chicago. When people start disappearing, a single parent must face an unimaginable terror to save those they love. Atmospheric and relentless, this horror film redefines fear.","ghost, demon, occult, isolation, slapstick",5.5,1996
Under the dawn,"Crime, Thriller",Emerald Fennell,"Tom Hardy, Ryan Gosling, Scarlett Johansson","In the gritty underbelly of a Mediterranean island, a detective pursues a mastermind who is always one step ahead. Loyalties are tested and the price of justice is high. A gripping crime saga with unforgettable characters.","conspiracy, mystery, espionage, double-cross, stalker, investigation",6.2,2020
The Ninth ember,"Thriller, Sci-Fi",Martin Scorsese,"Emily Blunt, Will Smith, Ryan Gosling","After receiving a cryptic message from a dead colleague, a young woman is drawn into a web of deception. Every clue leads to more questions, and the clock is ticking. An edge-of-your-seat thriller with a devastating finale.","alien, AI, double-cross, suspense, dystopia",5.0,2008
ancient Force,"Action, Sci-Fi, Drama",Yorgos Lanthimos,"Matt Damon, Brad Pitt, Jason Momoa, Idris Elba","When a corruption threatens to destabilize an entire region, a seasoned scientist is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","combat, family, rescue, ambition",7.6,2001
Under the sun,Romance,Chloe Zhao,"Gal Gadot, Jason Momoa, Tom Hardy","When a small-town teacher returns to their hometown, old feelings resurface and new possibilities emerge. Against the odds and despite past wounds, love finds a way. A tender, emotionally rich love story.","soulmate, wedding, heartbreak, forbidden-love, reunion, devotion",5.8,2005
The raven House,Horror,Guillermo del Toro,"Lupita Nyong'o, Salma Hayek, Dev Patel, Will Smith","A group of friends ventures into post-war London, unaware of the ancient evil that lurks beneath. As night falls and the terror begins, survival becomes the only goal. A chilling horror film that will haunt your dreams.","supernatural, slasher, haunted, ghost, curse, nightmare",6.2,2022
Project mask,"Sci-Fi, Drama, Crime",Kathryn Bigelow,"Brad Pitt, Jake Gyllenhaal, Natalie Portman","When a mysterious alien artifact appears, a team of scientists races to understand its origins. What they find challenges everything we know about gravity can be controlled. Visually stunning and intellectually thrilling.","noir, underworld, heist, dystopia, relationships, alien, family",8.2,1995
Quest for sun,"Adventure, Romance",David Fincher,"Brie Larson, Jennifer Lawrence, Kate Winslet","Stranded in the wilderness after a catastrophic accident, an ambitious lawyer must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","ancient-ruins, passion, wilderness, forbidden-love, long-distance",7.9,2021
The Lost dawn,Adventure,Yorgos Lanthimos,"Idris Elba, Pedro Pascal, Rachel McAdams","Stranded in the wilderness after a catastrophic betrayal, a brilliant surgeon must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","quest, pirates, map, expedition, discovery, wilderness",7.2,1992
The blade of Kyoto,"Drama, Adventure",Steven Spielberg,"Pedro Pascal, Margot Robbie, Chadwick Boseman, Brad Pitt","In the quiet corners of the Australian outback, a small-town teacher confronts a past that refuses to stay buried. Through unexpected friendships and hard-won wisdom, a new path forward emerges.","jungle, quest, identity, pirates, redemption, sacrifice, wilderness",5.9,2001
Hollow spark,"Horror, Adventure, Comedy",James Cameron,"Lupita Nyong'o, Rachel McAdams, Awkwafina","Something is watching from the darkness in a Mediterranean island. When people start disappearing, a small-town teacher must face an unimaginable terror to save those they love. Atmospheric and relentless, this horror film redefines fear.","satire, occult, possession, isolation, funny",5.0,1997
They steal at Night,Horror,Ava DuVernay,"Tom Hanks, Denzel Washington, Chris Evans","A group of friends ventures into downtown Chicago, unaware of the ancient evil that lurks beneath. As night falls and the terror begins, survival becomes the only goal. A chilling horror film that will haunt your dreams.","supernatural, slasher, demon, ghost",5.3,2003
Dark ember,"Action, Comedy",Kathryn Bigelow,"Will Smith, Chris Evans, Chadwick Boseman, Awkwafina","When a a criminal empire threatens to destabilize an entire region, a seasoned operative is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","wit, mercenary, slapstick, military, funny",4.3,2001
Beneath the dawn,"Horror, Adventure",Alejandro Inarritu,"Robert Pattinson, Charlize Theron, Adam Driver, John Boyega","After moving into a seemingly perfect remote cabin, a small-town teacher begins experiencing disturbing phenomena. The house has a history, and it is not done claiming victims. A slow-burn horror masterpiece dripping with dread.","wilderness, curse, treasure, quest, possession, supernatural",5.2,1999
The Last moon,"Action, Adventure, Horror",Emerald Fennell,"Daniel Kaluuya, Saoirse Ronan, Timothee Chalamet","A pilot must navigate a dangerous world of a powerful cartel to save innocent lives. With time running out and enemies closing in, every decision could be the last. An explosive tale of survival and redemption.","exploration, military, ghost, quest, rescue, survival, discovery",5.5,1992
The throne Witness,"Thriller, Adventure, Crime",Sam Mendes,"Al Pacino, Leonardo DiCaprio, Florence Pugh, Morgan Freeman",Nothing is as it seems when a retired professor uncovers a conspiracy that reaches the highest levels of power. Trust no one in this gripping psychological thriller filled with twists and betrayals. The truth may be the most dangerous weapon of all.,"detective, expedition, wilderness, informant, serial-killer, gang, deception",7.0,2008
Uncharted valley,"Adventure, Romance",Paul Thomas Anderson,"Rachel McAdams, Denzel Washington, Daisy Ridley, Dev Patel","When a map to an uncharted abandoned hospital surfaces, a ragtag crew of explorers assembles for the journey. But they are not the only ones seeking what lies at the end. An epic adventure filled with wonder and peril.","love, ancient-ruins, quest, chemistry, map",8.1,1991
Crooked fortress,Crime,Damien Chazelle,"Joaquin Phoenix, Emma Stone, Ryan Gosling","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","investigation, corruption, gang, detective, underworld",9.3,2021
A dark Heart,"Romance, Comedy",Rian Johnson,"Al Pacino, Matt Damon, Keanu Reeves","A chance encounter on a rainy evening in a small coastal town sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","chemistry, awkward, devotion, misunderstanding",4.8,2004
My twisted echo,Comedy,Yorgos Lanthimos,"Scarlett Johansson, Gal Gadot, Tom Hardy, Rami Malek","a brilliant surgeon thought retirement would be peaceful, but a series of absurd events pulls them back into the spotlight. A sharp, clever comedy about second chances and finding joy in unexpected places.","slapstick, misunderstanding, wedding, absurd, satire, prank, road-trip",6.9,2008
golden Hollow,Horror,Denis Villeneuve,"Saoirse Ronan, Joaquin Phoenix, Gal Gadot","Something is watching from the darkness in the Australian outback. When people start disappearing, a single parent must face an unimaginable terror to save those they love. Atmospheric and relentless, this horror film redefines fear.","demon, haunted, possession, supernatural, ghost, isolation",5.3,2004
Still whisper,Drama,Steven Spielberg,"Ana de Armas, Daniel Kaluuya, Jennifer Lawrence","Spanning three decades, this intimate drama follows a young woman through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","family, ambition, sacrifice, redemption",6.4,2011
The spark of Barcelona,"Drama, Adventure",Wong Kar-wai,"Zendaya, Robert Downey Jr., Morgan Freeman, Tom Hanks","In the quiet corners of a small coastal town, a single parent confronts a past that refuses to stay buried. Through unexpected friendships and hard-won wisdom, a new path forward emerges.","sacrifice, discovery, loss, redemption, quest",9.1,2009
Before beacon,Thriller,Celine Sciamma,"Daniel Kaluuya, Samuel L. Jackson, Sandra Bullock, Brad Pitt","After receiving a cryptic message from a dead colleague, a retired professor is drawn into a web of deception. Every clue leads to more questions, and the clock is ticking. An edge-of-your-seat thriller with a devastating finale.","mystery, suspense, stalker, conspiracy, deception, espionage",7.3,2015
Moonlit legend,"Romance, Action, Sci-Fi",Kathryn Bigelow,"Jennifer Lawrence, Daniel Kaluuya, Jenna Ortega, Margot Robbie","A chance encounter on a rainy evening in a Mediterranean island sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","passion, heartbreak, virtual-reality, rescue",5.4,1994
Seriously distant,Comedy,Jordan Peele,"Adam Driver, Anya Taylor-Joy, Denzel Washington, Cate Blanchett","When a brilliant surgeon accidentally explosion, chaos and hilarity ensue in this laugh-out-loud comedy. Nothing goes according to plan, and every attempt to fix things only makes it worse. A feel-good film that will leave you smiling.","prank, funny, road-trip, slapstick, absurd, wit",6.5,2022
bright Force,"Action, Drama",Ridley Scott,"Melissa McCarthy, Daniel Kaluuya, Leonardo DiCaprio, Oscar Isaac","When a terrorism threatens to destabilize an entire region, a seasoned journalist is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","relationships, undercover, combat, sacrifice, identity",4.8,2009
The electric Club,Comedy,Patty Jenkins,"Pedro Pascal, Lupita Nyong'o, Jake Gyllenhaal, Robert Pattinson","When a single parent accidentally explosion, chaos and hilarity ensue in this laugh-out-loud comedy. Nothing goes according to plan, and every attempt to fix things only makes it worse. A feel-good film that will leave you smiling.","satire, wit, misunderstanding, slapstick, funny",5.7,2015
Dirty raven,"Crime, Horror",Sam Mendes,"Benedict Cumberbatch, Melissa McCarthy, Emily Blunt, Chris Evans","In the gritty underbelly of post-war London, a detective pursues a mastermind who is always one step ahead. Loyalties are tested and the price of justice is high. A gripping crime saga with unforgettable characters.","informant, heist, supernatural, nightmare, gang, corruption",9.3,2008
Little beacon,"Animation, Thriller",Guillermo del Toro,"Anya Taylor-Joy, Viola Davis, Morgan Freeman, Will Smith","In a magical world where gravity can be controlled, a young an ambitious lawyer embarks on an extraordinary adventure. Along the way, they discover the true meaning of courage and friendship. A visually breathtaking animated masterpiece for all ages.","talking-animals, serial-killer, deception, stalker",8.6,1994
The infinite Mirror,"Horror, Animation, Comedy",Ava DuVernay,"Rami Malek, Natalie Portman, Hailee Steinfeld, Jenna Ortega","After moving into a seemingly perfect island estate, a retired professor begins experiencing disturbing phenomena. The house has a history, and it is not done claiming victims. A slow-burn horror masterpiece dripping with dread.","fantasy, nightmare, misunderstanding, absurd, haunted, prank, wit",4.2,2013
Quest for dust,"Adventure, Drama",Alejandro Inarritu,"Emily Blunt, Gal Gadot, Robert Downey Jr.","Stranded in the wilderness after a catastrophic crisis, a small-town teacher must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","wilderness, pirates, discovery, identity, ancient-ruins, expedition",6.8,2023
The Last serpent,"Crime, Thriller",Edgar Wright,"Chadwick Boseman, Awkwafina, Salma Hayek, John Boyega","When an ambitious lawyer witnesses something they should not have, they are drawn into a criminal empire's deadly inner circle. The only way out is to bring it all down from the inside. A riveting crime drama with jaw-dropping twists.","double-cross, conspiracy, mystery, gang, smuggling, paranoia",4.6,1999
Forever weary,"Romance, Animation",Robert Eggers,"Jake Gyllenhaal, Denzel Washington, Austin Butler, Dev Patel","A chance encounter on a rainy evening in downtown Chicago sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","chemistry, fairy-tale, devotion, wedding, musical, heartbreak",5.9,1996
Plan cipher,"Comedy, Thriller",Park Chan-wook,"Emma Stone, Jennifer Lawrence, Jenna Ortega","A mismatched group of colleagues must work together to pull off the impossible before the deadline. With egos clashing and plans falling apart, the real comedy is in the journey. Heartwarming, witty, and endlessly entertaining.","mystery, deception, absurd, prank, double-cross, suspense, satire",8.9,2018
Hollow throne,"Horror, Action",Taika Waititi,"Samuel L. Jackson, Hailee Steinfeld, Daisy Ridley, Robert Pattinson","A group of friends ventures into 1960s New York, unaware of the ancient evil that lurks beneath. As night falls and the terror begins, survival becomes the only goal. A chilling horror film that will haunt your dreams.","occult, nightmare, mercenary, explosion, chase",5.4,2021
Written in arrow,"Romance, Horror",Ang Lee,"Michael B. Jordan, Jason Momoa, Rachel McAdams","A chance encounter on a rainy evening in modern-day Berlin sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","demon, passion, wedding, soulmate, possession, chemistry",5.3,1997
Plan beacon,Comedy,Ryan Coogler,"Will Smith, Daniel Kaluuya, Jenna Ortega","When an ambitious lawyer accidentally disappearance, chaos and hilarity ensue in this laugh-out-loud comedy. Nothing goes according to plan, and every attempt to fix things only makes it worse. A feel-good film that will leave you smiling.","satire, prank, road-trip, funny, misunderstanding",8.6,1993
Code beacon,"Action, Animation, Comedy",Park Chan-wook,"Pedro Pascal, Awkwafina, Tilda Swinton, Hailee Steinfeld","When a corruption threatens to destabilize an entire region, a seasoned hacker is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","fantasy, musical, wit, rescue",5.2,1992
Uncharted wolf,Adventure,Yorgos Lanthimos,"Jennifer Lawrence, Idris Elba, Viola Davis, Will Smith","An intrepid scientist sets out on a quest to find the legendary Eye of Orion before it falls into the wrong hands. Crossing treacherous landscapes and outsmarting rivals, the adventure of a lifetime unfolds. A thrilling ride from start to finish.","expedition, quest, exploration, map, wilderness, jungle",4.6,2005
valley Rising,Action,Alejandro Inarritu,"Austin Butler, Melissa McCarthy, Viola Davis","A operative must navigate a dangerous world of a powerful cartel to save their city. With time running out and enemies closing in, every decision could be the last. An explosive tale of survival and redemption.","mission, survival, military, rescue, explosion, weapons",8.5,1993
Voyage of silence,"Adventure, Sci-Fi",Bong Joon-ho,"Hailee Steinfeld, Oscar Isaac, Will Smith, Zendaya","Stranded in the wilderness after a catastrophic crisis, a retired professor must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","jungle, discovery, ancient-ruins, time-travel, treasure",5.4,2010
The hidden Mirror,"Horror, Animation, Comedy",Sofia Coppola,"Tom Hanks, Tom Hardy, Robert Pattinson, Matt Damon","A group of friends ventures into a Mediterranean island, unaware of the ancient evil that lurks beneath. As night falls and the terror begins, survival becomes the only goal. A chilling horror film that will haunt your dreams.","haunted, road-trip, possession, occult, colorful, curse",7.2,1995
silence Tales,"Animation, Romance",Edgar Wright,"Jenna Ortega, Benedict Cumberbatch, Florence Pugh","When their homeland is threatened by a dark force, an unlikely hero must journey across fantastical lands. With colorful companions and songs in their heart, nothing is impossible. A joyful, dazzling animated adventure.","reunion, fairy-tale, hero, forbidden-love, talking-animals, colorful",5.9,1993
The sacred Kingdom,Animation,Bong Joon-ho,"Rachel McAdams, Leonardo DiCaprio, Jenna Ortega, Joaquin Phoenix","A curious an ambitious lawyer stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","musical, enchanted, quest, friendship, fantasy, hero",4.5,2000
Void fate,Sci-Fi,Kathryn Bigelow,"Emily Blunt, Cate Blanchett, Hailee Steinfeld, Denzel Washington","In a future where parallel worlds overlap, humanity faces its greatest challenge yet. A brilliant operative discovers a truth that could change everything, but powerful forces want it buried. A thought-provoking sci-fi epic about the cost of progress.","robot, genetic-engineering, technology, AI",4.0,2011
Whispers of spark,"Horror, Comedy, Animation",Sofia Coppola,"Dev Patel, Daisy Ridley, Denzel Washington","A group of friends ventures into the Australian outback, unaware of the ancient evil that lurks beneath. As night falls and the terror begins, survival becomes the only goal. A chilling horror film that will haunt your dreams.","road-trip, funny, isolation, nightmare, supernatural, magic",8.8,1999
The mask Syndicate,Crime,Bong Joon-ho,"Michael B. Jordan, Dev Patel, Florence Pugh, Tom Hardy","When an ambitious lawyer witnesses something they should not have, they are drawn into a criminal empire's deadly inner circle. The only way out is to bring it all down from the inside. A riveting crime drama with jaw-dropping twists.","informant, investigation, underworld, noir, mafia, heist, gang",7.2,2014
radiant Hollow,"Horror, Romance",Guillermo del Toro,"Saoirse Ronan, Jennifer Lawrence, Chris Evans","Something is watching from the darkness in a small coastal town. When people start disappearing, a single parent must face an unimaginable terror to save those they love. Atmospheric and relentless, this horror film redefines fear.","long-distance, haunted, passion, demon, love, soulmate",7.6,2005
The distant Garden,"Drama, Thriller",Pedro Almodovar,"Charlize Theron, Matt Damon, Leonardo DiCaprio","Spanning three decades, this intimate drama follows a war veteran through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","suspense, relationships, grief, ambition, serial-killer",8.2,1994
The valley of Barcelona,Drama,Steven Spielberg,"Robert Pattinson, Ana de Armas, Idris Elba","Spanning three decades, this intimate drama follows a small-town teacher through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","redemption, ambition, family, sacrifice, loss, secrets, identity",6.8,2003
Seriously warm,"Comedy, Adventure, Romance",Quentin Tarantino,"John Boyega, Jenna Ortega, Dev Patel, Jason Momoa","When a struggling artist accidentally betrayal, chaos and hilarity ensue in this laugh-out-loud comedy. Nothing goes according to plan, and every attempt to fix things only makes it worse. A feel-good film that will leave you smiling.","ancient-ruins, wedding, prank, slapstick",7.3,2009
My frozen fate,"Comedy, Drama",James Cameron,"Tilda Swinton, Michael B. Jordan, Charlize Theron","a single parent thought retirement would be peaceful, but a series of absurd events pulls them back into the spotlight. A sharp, clever comedy about second chances and finding joy in unexpected places.","absurd, satire, funny, redemption, awkward",5.8,2017
The Weight of sun,Drama,Quentin Tarantino,"Rachel McAdams, Idris Elba, Anya Taylor-Joy, Scarlett Johansson","Spanning three decades, this intimate drama follows an ambitious lawyer through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","family, grief, ambition, relationships, identity, loss",5.3,2022
Code shadow,Action,Robert Eggers,"Daniel Kaluuya, Al Pacino, Natalie Portman, Margot Robbie","A journalist must navigate a dangerous world of corruption to save their family. With time running out and enemies closing in, every decision could be the last. An explosive tale of survival and redemption.","survival, weapons, rescue, mission, mercenary",7.1,1997
Code phoenix,"Action, Comedy",Steven Spielberg,"Tom Hanks, Matt Damon, Rachel McAdams, Melissa McCarthy","When a a criminal empire threatens to destabilize an entire region, a seasoned scientist is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","road-trip, explosion, awkward, absurd",5.1,2009
The Ninth stone,"Thriller, Animation",Rian Johnson,"Dev Patel, Kate Winslet, Keanu Reeves",Nothing is as it seems when an ambitious lawyer uncovers a conspiracy that reaches the highest levels of power. Trust no one in this gripping psychological thriller filled with twists and betrayals. The truth may be the most dangerous weapon of all.,"fantasy, musical, enchanted, suspense",7.5,1990
Operation throne,"Action, Horror, Sci-Fi",Emerald Fennell,"Pedro Pascal, Tilda Swinton, Scarlett Johansson","A scientist must navigate a dangerous world of terrorism to save innocent lives. With time running out and enemies closing in, every decision could be the last. An explosive tale of survival and redemption.","cyberpunk, undercover, occult, military, robot",8.9,2019
Still arrow,"Drama, Crime, Comedy",Quentin Tarantino,"Jenna Ortega, Rami Malek, Brad Pitt","A deeply moving portrait of a single parent struggling to find meaning after explosion. Set against the backdrop of the Australian outback, the film explores themes of loss, hope, and human connection. A powerful story that stays with you long after the credits roll.","relationships, wit, noir, loss, corruption, underworld, gang",5.3,2002
City of ghost,Crime,Denis Villeneuve,"Austin Butler, Rachel McAdams, Adam Driver","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","corruption, gang, underworld, investigation",5.7,2006
Broken fate,"Drama, Comedy, Sci-Fi",Pedro Almodovar,"Florence Pugh, Brie Larson, Jason Momoa","Spanning three decades, this intimate drama follows an ambitious lawyer through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","robot, technology, loss, ambition",6.8,2009
My fading raven,Comedy,Park Chan-wook,"Denzel Washington, Rachel McAdams, Daisy Ridley","When a young woman accidentally betrayal, chaos and hilarity ensue in this laugh-out-loud comedy. Nothing goes according to plan, and every attempt to fix things only makes it worse. A feel-good film that will leave you smiling.","wit, road-trip, misunderstanding, wedding",6.2,1995
blade Horizon,"Sci-Fi, Drama",Chloe Zhao,"Daisy Ridley, Brad Pitt, Cate Blanchett, Kate Winslet","When a mysterious signal from deep space appears, a team of scientists races to understand its origins. What they find challenges everything we know about memories can be traded. Visually stunning and intellectually thrilling.","AI, technology, alien, coming-of-age, dystopia, genetic-engineering, redemption",7.8,2001
raven Night,"Comedy, Sci-Fi",Jordan Peele,"Gal Gadot, Saoirse Ronan, Emily Blunt","A mismatched group of old friends must work together to pull off the impossible before the deadline. With egos clashing and plans falling apart, the real comedy is in the journey. Heartwarming, witty, and endlessly entertaining.","wit, dystopia, awkward, wedding, funny, technology, road-trip",6.3,2023
The quiet Expedition,Adventure,Alejandro Inarritu,"Keanu Reeves, Robert Pattinson, Tilda Swinton, Michael B. Jordan","Stranded in the wilderness after a catastrophic scandal, a war veteran must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","map, ancient-ruins, quest, expedition, discovery, wilderness, exploration",8.9,2007
Sky titan,Animation,Ang Lee,"Christian Bale, Denzel Washington, Saoirse Ronan","A curious a struggling artist stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","fairy-tale, talking-animals, magic, enchanted, colorful, musical",9.1,2001
Dirty fate,Crime,Alejandro Inarritu,"Hailee Steinfeld, John Boyega, Michael B. Jordan","When an ambitious lawyer witnesses something they should not have, they are drawn into a criminal empire's deadly inner circle. The only way out is to bring it all down from the inside. A riveting crime drama with jaw-dropping twists.","investigation, corruption, smuggling, heist, underworld",4.2,1993
The weary Game,Thriller,Robert Eggers,"Emma Stone, Al Pacino, Gal Gadot",Nothing is as it seems when an ambitious lawyer uncovers a conspiracy that reaches the highest levels of power. Trust no one in this gripping psychological thriller filled with twists and betrayals. The truth may be the most dangerous weapon of all.,"espionage, investigation, mystery, paranoia, suspense, double-cross",7.9,1999
